"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2019";1005;12858;432,1
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2020";904;8940;371,4
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2021";939;9641;407,9
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2022";1005;11227;440,4
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2023";1023;12342;450,1
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2018";1010;11925;426,9
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2019";991;11440;415,3
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2020";872;8771;367,3
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2021";915;9265;414
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2022";980;10487;420,4
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2023";1011;10295;421,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";350;6628;149,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";346;6578;149,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";295;4811;113,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";300;5129;121,6
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2022";317;5524;130,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2023";333;5883;138,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2018";319;6029;132,8
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2019";312;6873;141,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2020";284;5074;113,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2021";306;5529;123,9
