"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2019";21;826;22,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2020";8;274;8,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2021";7;239;7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2022";10;406;11
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2023";14;543;14,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2018";19;690;21,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2019";19;685;20,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2020";8;287;8,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2021";6;211;6,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2022";8;300;9,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2023";11;390;12,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2018";15;533;15,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2019";14;490;14,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2020";5;159;4,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2021";4;135;4,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2022";8;261;8,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2023";10;379;11,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2018";7;320;7,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2019";8;401;9,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2023";8;401;9,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2018";8;117;5,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2019";8;115;5,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2020";4;52;2,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2021";3;47;2,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2022";4;70;3,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2023";5;83;3,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2022";4;63;3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2023";4;66;3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2018";17;247;12
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2019";15;230;11
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2020";7;91;5,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2021";6;81;4,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2022";9;120;6,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2023";10;155;7,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2018";13;183;8,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2019";16;217;10,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2020";7;85;4,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2021";5;70;3,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2022";8;120;5,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2023";10;135;6,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";52;247;16,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";49;237;15,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";36;160;11,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";37;163;11,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";43;202;14
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";44;208;14,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2018";63;256;17,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2019";61;248;16,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2020";39;194;13,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2021";42;176;14,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2022";53;225;16
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2023";53;223;15,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2018";50;210;14,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2019";44;162;11,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2020";42;146;10,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2021";45;177;15,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2022";41;140;9,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2023";43;161;11
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2018";44;206;13
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2019";48;202;13,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2020";36;184;11,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2021";40;183;11,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2022";37;178;11
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2023";38;182;11,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2018";60;237;16,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2019";66;294;18,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2020";41;162;10,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2021";48;196;14,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2022";54;240;15,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2023";53;250;16,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2018";37;139;9,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2019";35;120;8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2020";28;96;7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2021";29;122;9,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2022";30;118;7,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2023";32;128;8,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2018";54;236;15,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2019";47;227;14,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2020";38;158;10,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2021";38;160;11,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2022";49;219;14,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2023";44;201;13,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2018";63;332;21,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2019";53;295;17,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2020";38;176;11,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2021";37;185;12,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2022";43;213;14,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2023";45;254;16
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2018";55;304;20
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2019";51;266;19
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2020";39;186;13,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2021";38;185;13,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2022";45;210;15,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2023";49;239;17,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2018";49;244;16,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2019";44;236;15,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2020";34;158;11,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2021";35;157;11,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2022";41;202;13,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2023";39;195;13,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2018";53;221;14,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2019";48;239;14,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2020";42;171;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2021";46;191;12,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2022";37;148;11,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2023";44;205;13,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2018";48;228;14,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2019";51;233;15,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2020";34;153;10,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2021";33;138;9,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2022";43;208;13,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2023";44;218;14,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2018";45;176;12,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2019";40;163;11,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2020";27;107;7,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2021";26;110;9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2022";34;169;14,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2023";30;118;8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";9;22;1,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";8;22;1,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";6;11;1,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";7;11;1,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";8;15;1,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";8;18;1,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2018";8;16;1,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2019";6;15;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2021";7;8;1,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2022";7;12;1,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2023";7;15;
