Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Total,Population 6 years or older,Total,Value,Zeeland (PV),2021,950.0,11526.0,430.3
Total,Population 6 years or older,Total,Value,Zeeland (PV),2022,1015.0,11507.0,452.2
Total,Population 6 years or older,Total,Value,Zeeland (PV),2023,974.0,12308.0,421.3
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2018,1022.0,13102.0,440.9
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2019,1005.0,12858.0,432.1
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2020,904.0,8940.0,371.4
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2021,939.0,9641.0,407.9
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2022,1005.0,11227.0,440.4
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2023,1023.0,12342.0,450.1
Total,Population 6 years or older,Total,Value,Limburg (PV),2018,1010.0,11925.0,426.9
Total,Population 6 years or older,Total,Value,Limburg (PV),2019,991.0,11440.0,415.3
Total,Population 6 years or older,Total,Value,Limburg (PV),2020,872.0,8771.0,367.3
Total,Population 6 years or older,Total,Value,Limburg (PV),2021,915.0,9265.0,414.0
Total,Population 6 years or older,Total,Value,Limburg (PV),2022,980.0,10487.0,420.4
Total,Population 6 years or older,Total,Value,Limburg (PV),2023,1011.0,10295.0,421.7
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018,350.0,6628.0,149.2
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019,346.0,6578.0,149.2
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020,295.0,4811.0,113.7
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021,300.0,5129.0,121.6
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022,317.0,5524.0,130.4
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023,333.0,5883.0,138.2
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018,319.0,6029.0,132.8
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019,312.0,6873.0,141.3
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020,284.0,5074.0,113.3
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021,306.0,5529.0,123.9
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022,292.0,5994.0,133.4
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023,302.0,5170.0,118.8
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018,370.0,8034.0,156.4
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019,356.0,8346.0,160.3
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020,342.0,6377.0,130.6
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021,334.0,6392.0,130.2
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022,366.0,7261.0,158.5
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023,371.0,7397.0,149.4
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018,427.0,8840.0,180.3
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019,421.0,7626.0,161.1
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020,345.0,5287.0,120.1
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021,351.0,5859.0,133.5
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022,383.0,6649.0,148.9
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023,404.0,7850.0,163.6
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018,386.0,7269.0,155.7
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019,355.0,6668.0,149.4
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020,319.0,5160.0,122.0
