Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Professionally,Population 6 years or older,Bike,Value,Limburg (PV),2019,,,
Professionally,Population 6 years or older,Bike,Value,Limburg (PV),2020,,,
Professionally,Population 6 years or older,Bike,Value,Limburg (PV),2021,,,
Professionally,Population 6 years or older,Bike,Value,Limburg (PV),2022,,,
Professionally,Population 6 years or older,Bike,Value,Limburg (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2018,1.0,2.0,0.3
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2019,1.0,3.0,0.4
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2020,1.0,2.0,0.3
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2021,1.0,2.0,0.4
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2022,1.0,2.0,0.4
Professionally,Population 6 years or older,Walking,Value,The Netherlands,2023,1.0,3.0,0.3
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Groningen (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Fryslân (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Drenthe (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Overijssel (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Flevoland (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Gelderland (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Utrecht (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Holland (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2019,2.0,4.0,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Zeeland (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2023,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2018,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2019,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2020,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2021,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2022,,,
Professionally,Population 6 years or older,Walking,Value,Limburg (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,The Netherlands,2018,5.0,169.0,3.2
Professionally,Population 6 years or older,Other,Value,The Netherlands,2019,8.0,243.0,4.8
Professionally,Population 6 years or older,Other,Value,The Netherlands,2020,6.0,177.0,3.6
Professionally,Population 6 years or older,Other,Value,The Netherlands,2021,7.0,194.0,4.0
Professionally,Population 6 years or older,Other,Value,The Netherlands,2022,6.0,172.0,3.5
Professionally,Population 6 years or older,Other,Value,The Netherlands,2023,6.0,156.0,3.4
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Groningen (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Fryslân (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Drenthe (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2019,10.0,382.0,6.9
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Overijssel (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Flevoland (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2018,6.0,229.0,4.2
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2019,11.0,308.0,6.0
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2020,7.0,195.0,3.9
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2021,7.0,300.0,5.4
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Gelderland (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2021,5.0,113.0,2.5
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2022,6.0,170.0,3.5
Professionally,Population 6 years or older,Other,Value,Utrecht (PV),2023,4.0,121.0,3.2
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2018,5.0,,3.0
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2019,6.0,,4.2
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2020,6.0,121.0,2.6
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2021,5.0,124.0,2.6
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2022,5.0,,2.8
Professionally,Population 6 years or older,Other,Value,Noord-Holland (PV),2023,5.0,101.0,2.5
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2018,4.0,94.0,2.3
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2019,7.0,168.0,4.0
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2020,5.0,126.0,2.7
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2021,6.0,122.0,3.0
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2022,5.0,135.0,3.0
Professionally,Population 6 years or older,Other,Value,Zuid-Holland (PV),2023,5.0,148.0,3.3
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Zeeland (PV),2023,,,
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2018,6.0,,
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2019,8.0,194.0,4.1
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2021,6.0,184.0,3.4
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2022,7.0,213.0,4.4
Professionally,Population 6 years or older,Other,Value,Noord-Brabant (PV),2023,6.0,157.0,3.2
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2018,,,
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2019,,,
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2020,,,
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2021,,,
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2022,,,
Professionally,Population 6 years or older,Other,Value,Limburg (PV),2023,,,
Services/care,Population 6 years or older,Total,Value,The Netherlands,2018,31.0,302.0,10.5
Services/care,Population 6 years or older,Total,Value,The Netherlands,2019,31.0,267.0,10.1
Services/care,Population 6 years or older,Total,Value,The Netherlands,2020,26.0,224.0,8.0
Services/care,Population 6 years or older,Total,Value,The Netherlands,2021,32.0,271.0,9.9
Services/care,Population 6 years or older,Total,Value,The Netherlands,2022,33.0,263.0,10.2
Services/care,Population 6 years or older,Total,Value,The Netherlands,2023,32.0,272.0,10.2
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2018,28.0,308.0,10.5
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2019,33.0,271.0,10.2
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2020,25.0,223.0,7.0
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2021,31.0,326.0,10.9
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2022,33.0,265.0,10.0
Services/care,Population 6 years or older,Total,Value,Groningen (PV),2023,35.0,,12.1
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2018,29.0,586.0,13.1
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2019,22.0,251.0,7.6
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2020,26.0,,7.1
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2021,29.0,236.0,7.7
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2022,36.0,350.0,11.7
Services/care,Population 6 years or older,Total,Value,Fryslân (PV),2023,25.0,232.0,7.6
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2018,33.0,416.0,10.8
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2019,31.0,,8.1
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2020,34.0,299.0,9.2
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2021,33.0,368.0,9.6
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2022,40.0,466.0,12.4
Services/care,Population 6 years or older,Total,Value,Drenthe (PV),2023,32.0,331.0,9.1
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2018,28.0,245.0,8.4
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2019,30.0,304.0,9.5
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2020,25.0,201.0,7.3
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2021,28.0,280.0,9.1
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2022,34.0,311.0,10.7
Services/care,Population 6 years or older,Total,Value,Overijssel (PV),2023,31.0,302.0,9.9
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2018,29.0,222.0,7.5
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2019,23.0,214.0,6.7
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2020,22.0,269.0,6.4
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2021,28.0,276.0,8.5
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2022,34.0,362.0,10.3
Services/care,Population 6 years or older,Total,Value,Flevoland (PV),2023,22.0,209.0,7.0
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2018,29.0,249.0,8.9
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2019,33.0,308.0,11.1
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2020,27.0,256.0,8.3
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2021,32.0,265.0,8.8
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2022,38.0,301.0,11.0
Services/care,Population 6 years or older,Total,Value,Gelderland (PV),2023,37.0,342.0,11.5
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2018,36.0,367.0,13.0
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2019,31.0,292.0,9.9
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2020,27.0,206.0,7.9
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2021,36.0,294.0,11.4
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2022,35.0,258.0,10.1
Services/care,Population 6 years or older,Total,Value,Utrecht (PV),2023,31.0,291.0,10.9
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2018,32.0,296.0,11.9
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2019,30.0,293.0,10.7
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2020,25.0,198.0,8.2
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2021,32.0,293.0,11.0
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2022,29.0,200.0,9.2
Services/care,Population 6 years or older,Total,Value,Noord-Holland (PV),2023,31.0,226.0,9.9
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2018,31.0,268.0,11.0
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2019,33.0,237.0,11.0
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2020,24.0,183.0,7.9
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2021,32.0,230.0,10.2
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2022,30.0,194.0,9.4
Services/care,Population 6 years or older,Total,Value,Zuid-Holland (PV),2023,29.0,209.0,10.0
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2018,25.0,,6.5
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2019,,,
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2020,,,
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2021,,,
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2022,,,
Services/care,Population 6 years or older,Total,Value,Zeeland (PV),2023,,,
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2018,33.0,335.0,10.6
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2019,31.0,227.0,9.5
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2020,28.0,239.0,7.7
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2021,34.0,270.0,9.7
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2022,34.0,270.0,10.3
Services/care,Population 6 years or older,Total,Value,Noord-Brabant (PV),2023,33.0,303.0,9.9
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2018,31.0,270.0,8.9
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2019,38.0,314.0,10.8
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2020,30.0,258.0,9.2
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2021,36.0,276.0,9.9
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2022,39.0,340.0,12.1
Services/care,Population 6 years or older,Total,Value,Limburg (PV),2023,39.0,325.0,11.8
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018,12.0,151.0,4.2
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019,12.0,140.0,4.0
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020,11.0,133.0,3.5
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021,13.0,153.0,4.3
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022,13.0,154.0,4.4
Services/care,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023,13.0,153.0,4.2
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018,12.0,144.0,3.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019,15.0,175.0,4.6
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020,9.0,,3.0
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021,12.0,182.0,4.5
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022,12.0,212.0,5.6
Services/care,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023,12.0,,4.5
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2022,14.0,,4.3
Services/care,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2018,12.0,119.0,3.3
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2019,14.0,153.0,4.4
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2020,13.0,172.0,4.1
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2021,15.0,181.0,4.7
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2022,15.0,179.0,5.0
Services/care,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2023,15.0,174.0,4.7
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2018,13.0,199.0,5.2
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2019,10.0,133.0,3.3
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2020,11.0,136.0,3.8
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2021,13.0,165.0,4.5
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2022,11.0,154.0,4.0
Services/care,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2023,10.0,150.0,3.8
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2018,11.0,136.0,3.8
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2019,9.0,165.0,3.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2020,10.0,121.0,3.6
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2021,11.0,153.0,4.1
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2022,9.0,99.0,3.0
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2023,10.0,120.0,3.3
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2018,12.0,127.0,3.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2019,11.0,113.0,4.0
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2020,8.0,87.0,2.7
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2021,11.0,118.0,3.7
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2022,11.0,105.0,3.4
Services/care,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2023,11.0,110.0,3.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2018,14.0,157.0,4.5
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2019,13.0,108.0,3.5
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2020,12.0,156.0,3.8
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2021,16.0,159.0,4.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2022,15.0,171.0,5.1
Services/care,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2023,16.0,189.0,5.1
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2018,16.0,177.0,4.8
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2019,19.0,180.0,4.9
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2020,14.0,147.0,4.3
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2021,14.0,127.0,3.7
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2022,17.0,,6.2
Services/care,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2023,20.0,191.0,5.7
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2018,5.0,73.0,2.0
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2019,5.0,68.0,2.0
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2020,4.0,56.0,1.5
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2021,5.0,66.0,1.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2022,5.0,54.0,1.6
Services/care,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2023,4.0,55.0,1.6
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2023,,,
