travelmotives,population,travelmodes,margins,regioncharacteristics,periods,averageperpersonperyeartripsnumber,averageperpersonperyeardistancetravelledpassengerkilometres,averageperpersonperyeartimetravelledhours
"Shopping, groceries, funshopping.",Population 6 years or older,Bike,Value,Limburg (PV),2021.0,34.0,66.0,6.4
"Shopping, groceries, funshopping.",Population 6 years or older,Bike,Value,Limburg (PV),2022.0,43.0,103.0,8.8
"Shopping, groceries, funshopping.",Population 6 years or older,Bike,Value,Limburg (PV),2023.0,39.0,83.0,8.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2018.0,40.0,38.0,8.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2019.0,37.0,34.0,7.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2020.0,45.0,37.0,8.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2021.0,52.0,45.0,10.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2022.0,48.0,42.0,9.2
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,The Netherlands,2023.0,47.0,42.0,9.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2018.0,50.0,42.0,8.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2019.0,41.0,34.0,7.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2020.0,42.0,34.0,7.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2021.0,46.0,32.0,6.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2022.0,45.0,33.0,7.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Groningen (PV),2023.0,54.0,42.0,9.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2018.0,19.0,20.0,4.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2019.0,28.0,24.0,6.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2020.0,30.0,31.0,5.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2021.0,25.0,22.0,4.2
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2022.0,34.0,32.0,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Fryslân (PV),2023.0,34.0,23.0,5.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2021.0,22.0,19.0,4.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2022.0,29.0,23.0,4.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Drenthe (PV),2023.0,29.0,24.0,5.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2018.0,23.0,19.0,5.2
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2019.0,20.0,18.0,3.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2020.0,27.0,20.0,4.7
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2021.0,34.0,30.0,6.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2022.0,31.0,23.0,4.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Overijssel (PV),2023.0,32.0,29.0,6.7
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2018.0,38.0,44.0,9.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2019.0,38.0,37.0,8.2
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2020.0,35.0,31.0,6.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2021.0,46.0,37.0,7.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2022.0,36.0,31.0,6.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Flevoland (PV),2023.0,36.0,29.0,5.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2018.0,33.0,30.0,6.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2019.0,27.0,28.0,5.4
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2020.0,38.0,31.0,6.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2021.0,46.0,38.0,8.5
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2022.0,41.0,33.0,7.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Gelderland (PV),2023.0,37.0,32.0,7.2
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2018.0,43.0,41.0,8.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2019.0,39.0,32.0,7.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2020.0,54.0,41.0,8.7
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2021.0,58.0,46.0,9.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2022.0,57.0,48.0,10.0
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Utrecht (PV),2023.0,54.0,46.0,10.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2018.0,47.0,44.0,9.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2019.0,50.0,42.0,10.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2020.0,54.0,48.0,10.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2021.0,67.0,59.0,12.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2022.0,63.0,59.0,13.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Holland (PV),2023.0,61.0,54.0,12.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2018.0,49.0,51.0,11.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2019.0,44.0,44.0,9.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2020.0,58.0,50.0,11.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2021.0,64.0,57.0,12.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2022.0,58.0,54.0,11.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zuid-Holland (PV),2023.0,60.0,56.0,12.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2018.0,38.0,31.0,6.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2022.0,32.0,28.0,6.7
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Zeeland (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2018.0,36.0,33.0,7.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2019.0,36.0,30.0,6.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2020.0,39.0,31.0,6.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2021.0,46.0,42.0,10.3
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2022.0,37.0,31.0,6.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Noord-Brabant (PV),2023.0,39.0,36.0,7.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2018.0,39.0,38.0,7.6
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2019.0,25.0,25.0,6.1
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2020.0,35.0,29.0,6.8
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2021.0,46.0,38.0,8.9
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2022.0,46.0,43.0,9.7
"Shopping, groceries, funshopping.",Population 6 years or older,Walking,Value,Limburg (PV),2023.0,39.0,32.0,7.4
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2018.0,4.0,31.0,1.3
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2019.0,4.0,36.0,1.4
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2020.0,4.0,21.0,0.9
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2021.0,5.0,22.0,1.3
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2022.0,4.0,22.0,1.0
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,The Netherlands,2023.0,4.0,27.0,1.1
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Groningen (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Fryslân (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Drenthe (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Overijssel (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Flevoland (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Gelderland (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Utrecht (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2018.0,6.0,,1.9
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2021.0,6.0,20.0,1.2
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2022.0,5.0,24.0,1.1
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Holland (PV),2023.0,5.0,30.0,1.7
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2018.0,5.0,17.0,1.2
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2019.0,4.0,20.0,1.5
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2020.0,5.0,17.0,1.0
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2021.0,6.0,24.0,1.4
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2022.0,5.0,,1.4
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zuid-Holland (PV),2023.0,4.0,19.0,1.0
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Zeeland (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2018.0,5.0,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Noord-Brabant (PV),2023.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2018.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2019.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2020.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2021.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2022.0,,,
"Shopping, groceries, funshopping.",Population 6 years or older,Other,Value,Limburg (PV),2023.0,,,
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2018.0,83.0,759.0,32.3
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2019.0,81.0,750.0,31.5
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2020.0,50.0,375.0,17.6
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2021.0,52.0,426.0,19.5
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2022.0,67.0,591.0,26.4
Attending education/courses,Population 6 years or older,Total,Value,The Netherlands,2023.0,67.0,608.0,27.3
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2018.0,93.0,763.0,32.5
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2019.0,84.0,651.0,30.9
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2020.0,50.0,425.0,16.8
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2021.0,51.0,412.0,19.3
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2022.0,64.0,583.0,27.7
Attending education/courses,Population 6 years or older,Total,Value,Groningen (PV),2023.0,59.0,660.0,24.8
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2018.0,80.0,1160.0,38.3
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2019.0,72.0,829.0,30.1
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2020.0,45.0,406.0,16.4
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2021.0,51.0,438.0,18.2
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2022.0,63.0,734.0,26.2
Attending education/courses,Population 6 years or older,Total,Value,Fryslân (PV),2023.0,70.0,906.0,28.6
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2018.0,87.0,1128.0,37.8
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2019.0,75.0,939.0,30.8
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2020.0,53.0,611.0,22.2
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2021.0,55.0,505.0,20.9
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2022.0,63.0,688.0,28.1
Attending education/courses,Population 6 years or older,Total,Value,Drenthe (PV),2023.0,67.0,789.0,30.8
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2018.0,85.0,668.0,30.3
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2019.0,84.0,828.0,30.9
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2020.0,53.0,355.0,18.1
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2021.0,56.0,477.0,21.4
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2022.0,66.0,541.0,23.8
Attending education/courses,Population 6 years or older,Total,Value,Overijssel (PV),2023.0,71.0,684.0,27.1
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2018.0,92.0,996.0,36.6
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2019.0,92.0,1439.0,44.2
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2020.0,59.0,533.0,25.6
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2021.0,53.0,525.0,20.8
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2022.0,77.0,685.0,29.9
Attending education/courses,Population 6 years or older,Total,Value,Flevoland (PV),2023.0,76.0,768.0,30.8
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2018.0,85.0,768.0,31.8
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2019.0,85.0,795.0,33.2
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2020.0,54.0,432.0,18.7
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2021.0,51.0,418.0,18.4
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2022.0,66.0,653.0,25.9
Attending education/courses,Population 6 years or older,Total,Value,Gelderland (PV),2023.0,70.0,633.0,27.4
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2018.0,90.0,810.0,35.1
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2019.0,85.0,665.0,30.5
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2020.0,54.0,394.0,19.2
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2021.0,57.0,466.0,22.5
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2022.0,73.0,579.0,28.5
Attending education/courses,Population 6 years or older,Total,Value,Utrecht (PV),2023.0,74.0,589.0,29.8
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2018.0,80.0,668.0,30.9
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2019.0,80.0,669.0,31.6
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2020.0,48.0,349.0,17.6
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2021.0,53.0,420.0,20.1
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2022.0,71.0,648.0,30.2
Attending education/courses,Population 6 years or older,Total,Value,Noord-Holland (PV),2023.0,65.0,525.0,26.2
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2018.0,83.0,638.0,31.9
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2019.0,85.0,677.0,32.9
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2020.0,51.0,315.0,17.3
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2021.0,55.0,421.0,21.1
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2022.0,68.0,469.0,25.8
Attending education/courses,Population 6 years or older,Total,Value,Zuid-Holland (PV),2023.0,70.0,529.0,28.7
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2018.0,79.0,920.0,31.7
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2019.0,76.0,954.0,29.4
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2020.0,51.0,588.0,22.2
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2021.0,49.0,443.0,16.0
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2022.0,57.0,672.0,22.5
Attending education/courses,Population 6 years or older,Total,Value,Zeeland (PV),2023.0,61.0,683.0,24.2
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2018.0,79.0,709.0,30.1
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2019.0,78.0,776.0,30.2
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2020.0,51.0,320.0,15.7
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2021.0,49.0,345.0,16.2
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2022.0,65.0,632.0,25.8
Attending education/courses,Population 6 years or older,Total,Value,Noord-Brabant (PV),2023.0,64.0,619.0,26.8
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2018.0,75.0,990.0,34.4
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2019.0,67.0,673.0,26.3
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2020.0,37.0,372.0,13.5
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2021.0,43.0,485.0,17.0
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2022.0,57.0,517.0,19.8
Attending education/courses,Population 6 years or older,Total,Value,Limburg (PV),2023.0,56.0,594.0,22.3
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018.0,6.0,143.0,3.2
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019.0,5.0,136.0,2.9
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020.0,3.0,77.0,1.6
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021.0,3.0,86.0,1.8
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022.0,4.0,124.0,2.4
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023.0,4.0,122.0,2.6
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023.0,,,
Attending education/courses,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018.0,,,
